superficie_construida,superficie_parcela,habitaciones,banos,zona,localizacion,precio
48 ㎡,,1.0,1.0,Palma,Palma Catedral - Casco Antiguo,385.000 EUR
544 ㎡,7.614 ㎡,5.0,5.0,Central,Puntiró,4.495.000 EUR
,450 ㎡,,,Central,Santa Eugenia,520.000 EUR
454 ㎡,6 ㏊,4.0,5.0,Suroeste,Port Andratx,4.500.000 EUR
104 ㎡,,3.0,2.0,Suroeste,Santa Ponsa,799.000 EUR
331 ㎡,11.998 ㎡,5.0,3.0,Central,Sencelles,1.200.000 EUR
44 ㎡,,2.0,1.0,Palma,El Terreno,355.000 EUR
131 ㎡,,2.0,2.0,Suroeste,Port Andratx,1.950.000 EUR
430 ㎡,824 ㎡,4.0,3.0,Central,Sa Cabaneta,1.190.000 EUR
485 ㎡,544 ㎡,5.0,3.0,Norte,Sa Pobla,849.000 EUR
961 ㎡,"2,66 ㏊",6.0,6.0,Norte,Puerto Alcudia - Alcanada,3.650.000 EUR
133 ㎡,,2.0,2.0,Palma,Paseo Marítimo,1.050.000 EUR
544 ㎡,"1,72 ㏊",5.0,5.0,Central,Maria de la Salut,3.900.000 EUR
300 ㎡,,5.0,4.0,Sureste,Sa Rapita,1.295.000 EUR
,"2,2 ㏊",,,Norte,Can Picafort,395.000 EUR
89 ㎡,,2.0,2.0,Noreste,Capdepera,645.000 EUR
,2.700 ㎡,,,Sur,Cala Blava,1.950.000 EUR
599 ㎡,"4,08 ㏊",4.0,4.0,Central,Santa María,15.000.000 EUR
98 ㎡,,2.0,2.0,Noreste,Capdepera,625.000 EUR
506 ㎡,1.034 ㎡,4.0,4.0,Suroeste,Bendinat,7.200.000 EUR
89 ㎡,,2.0,2.0,Noreste,Capdepera,475.000 EUR
144 ㎡,,3.0,3.0,Palma,Santa Catalina,850.000 EUR
410 ㎡,1.066 ㎡,5.0,5.0,Suroeste,Port Andratx,6.750.000 EUR
233 ㎡,1.400 ㎡,4.0,4.0,Suroeste,Cala Vinyes,3.250.000 EUR
240 ㎡,812 ㎡,4.0,3.0,Sur,Cala Pi,3.150.000 EUR
111 ㎡,,1.0,1.0,Palma,Palma Catedral - Casco Antiguo,1.350.000 EUR
574 ㎡,759 ㎡,5.0,5.0,Sur,Puig de Ros,3.600.000 EUR
86 ㎡,,3.0,2.0,Norte,Puerto Alcudia,550.000 EUR
79 ㎡,,3.0,2.0,Suroeste,Port Andratx,1.465.000 EUR
421 ㎡,"3,3 ㏊",5.0,5.0,Noreste,Son Servera,3.650.000 EUR
650 ㎡,1.100 ㎡,4.0,4.0,Suroeste,Santa Ponsa,9.850.000 EUR
232 ㎡,114 ㎡,3.0,3.0,Sureste,Portocolom,1.980.000 EUR
200 ㎡,5.897 ㎡,5.0,3.0,Norte,Puerto Pollensa,1.200.000 EUR
240 ㎡,,3.0,5.0,Palma,Son Armadams,4.200.000 EUR
417 ㎡,1.196 ㎡,5.0,5.0,Suroeste,Costa d'en Blanes,6.950.000 EUR
78 ㎡,,3.0,2.0,Palma,Playa de Palma & Arenal,515.000 EUR
208 ㎡,1.098 ㎡,4.0,3.0,Suroeste,Santa Ponsa,3.250.000 EUR
,1.889 ㎡,,,Suroeste,Portals,6.000.000 EUR
399 ㎡,1.214 ㎡,6.0,6.0,Suroeste,Bendinat,11.900.000 EUR
,"2,13 ㏊",,,Sureste,Campos,875.000 EUR
,1.250 ㎡,,,Suroeste,Andratx,7.850.000 EUR
445 ㎡,1.084 ㎡,5.0,5.0,Suroeste,Portals,5.250.000 EUR
920 ㎡,4.805 ㎡,5.0,5.0,Suroeste,Santa Ponsa,19.950.000 EUR
201 ㎡,172 ㎡,3.0,2.0,Central,Caimari,1.250.000 EUR
316 ㎡,792 ㎡,3.0,3.0,Suroeste,Port Adriano,3.950.000 EUR
222 ㎡,243 ㎡,4.0,2.0,Norte,Muro,1.650.000 EUR
400 ㎡,"2,69 ㏊",5.0,6.0,Norte,Pollensa,5.500.000 EUR
177 ㎡,177 ㎡,5.0,2.0,Oeste,Valldemossa,910.000 EUR
190 ㎡,,5.0,4.0,Palma,Paseo Marítimo,1.595.000 EUR
110 ㎡,590 ㎡,2.0,2.0,Noreste,Betlem,1.295.000 EUR
800 ㎡,2.040 ㎡,5.0,5.0,Son Vida & Palma Alrededores,Son Vida,7.000.000 EUR
188 ㎡,346 ㎡,3.0,3.0,Oeste,Port des Canonge,1.185.000 EUR
670 ㎡,1.157 ㎡,5.0,5.0,Suroeste,Costa d'en Blanes,7.950.000 EUR
304 ㎡,1.264 ㎡,5.0,5.0,Noreste,Costa de Los Pinos,2.980.000 EUR
176 ㎡,,3.0,3.0,Suroeste,Port Andratx,3.190.000 EUR
190 ㎡,1.450 ㎡,4.0,2.0,Noreste,Porto Cristo Novo,2.690.000 EUR
600 ㎡,2.000 ㎡,4.0,4.0,Son Vida & Palma Alrededores,Son Vida,4.900.000 EUR
667 ㎡,"1,35 ㏊",5.0,5.0,Central,Santa María,3.000.000 EUR
101 ㎡,,3.0,2.0,Noreste,Canyamel,740.000 EUR
496 ㎡,"4,01 ㏊",5.0,6.0,Central,Sencelles,3.500.000 EUR
83 ㎡,,2.0,2.0,Suroeste,Santa Ponsa,690.000 EUR
425 ㎡,1.937 ㎡,4.0,6.0,Central,Sa Coma - Bunyola,1.950.000 EUR
151 ㎡,327 ㎡,4.0,3.0,Norte,Puerto Alcudia - Alcanada,950.000 EUR
,"4,42 ㏊",,,Central,Bunyola,890.000 EUR
114 ㎡,57 ㎡,2.0,2.0,Central,Selva,430.000 EUR
182 ㎡,6.582 ㎡,4.0,3.0,Norte,Puerto Alcudia - Alcanada,1.495.000 EUR
377 ㎡,840 ㎡,4.0,3.0,Suroeste,Cas Catalá,4.950.000 EUR
280 ㎡,258 ㎡,4.0,2.0,Central,Algaida,900.000 EUR
175 ㎡,9.000 ㎡,5.0,3.0,Sureste,Campos,2.350.000 EUR
1.407 ㎡,"19,97 ㏊",5.0,5.0,Central,Sineu,3.150.000 EUR
342 ㎡,1.826 ㎡,3.0,2.0,Central,Sa Coma - Bunyola,2.600.000 EUR
,1.826 ㎡,,,Central,Sa Coma - Bunyola,715.000 EUR
221 ㎡,"1,56 ㏊",3.0,3.0,Sureste,Felanitx,2.300.000 EUR
170 ㎡,70 ㎡,2.0,2.0,Norte,Alcudia,550.000 EUR
103 ㎡,,3.0,2.0,Suroeste,Santa Ponsa,1.850.000 EUR
160 ㎡,,3.0,3.0,Palma,Portixol & Molinar,1.795.000 EUR
107 ㎡,91 ㎡,3.0,2.0,Central,Petra,550.000 EUR
352 ㎡,935 ㎡,4.0,4.0,Son Vida & Palma Alrededores,Establiments,1.050.000 EUR
160 ㎡,195 ㎡,3.0,2.0,Palma,Genova,2.995.000 EUR
147 ㎡,,4.0,2.0,Palma,Paseo Marítimo,980.000 EUR
217 ㎡,402 ㎡,4.0,3.0,Noreste,Colonia de St. Pere,2.300.000 EUR
186 ㎡,785 ㎡,3.0,3.0,Noreste,Colonia de St. Pere,1.890.000 EUR
626 ㎡,1.775 ㎡,5.0,3.0,Palma,Genova,3.200.000 EUR
350 ㎡,674 ㎡,3.0,2.0,Central,Sa Cabaneta,2.800.000 EUR
581 ㎡,2.014 ㎡,5.0,6.0,Norte,Pollensa,A Consultar
329 ㎡,"2,81 ㏊",4.0,5.0,Norte,Campanet,A Consultar
68 ㎡,3.500 ㎡,2.0,2.0,Norte,Campanet,695.000 EUR
281 ㎡,1.060 ㎡,4.0,3.0,Sur,Sa Torre,2.300.000 EUR
137 ㎡,,3.0,2.0,Palma,Palma Catedral - Casco Antiguo,1.790.000 EUR
400 ㎡,25 ㏊,7.0,2.0,Norte,Escorca,1.495.000 EUR
388 ㎡,595 ㎡,4.0,4.0,Palma,Sa Teulera,1.950.000 EUR
424 ㎡,2.007 ㎡,4.0,3.0,Central,Son Gual,2.420.000 EUR
183 ㎡,,3.0,3.0,Suroeste,Bendinat,1.998.000 EUR
,286 ㎡,,,Sureste,Alquería Blanca,240.000 EUR
825 ㎡,2.230 ㎡,5.0,6.0,Son Vida & Palma Alrededores,Son Vida,6.900.000 EUR
48 ㎡,,1.0,1.0,Palma,Palma Catedral - Casco Antiguo,385.000 EUR
81 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,1.100.000 EUR
47 ㎡,,1.0,1.0,Palma,Palma Catedral - Casco Antiguo,385.000 EUR
312 ㎡,1.013 ㎡,5.0,4.0,Noreste,Port Verd,1.450.000 EUR
423 ㎡,390 ㎡,4.0,4.0,Sureste,Felanitx,1.925.000 EUR
234 ㎡,910 ㎡,4.0,3.0,Noreste,Font de Sa Cala,1.950.000 EUR
610 ㎡,"12,05 ㏊",5.0,4.0,Norte,Pollensa,6.995.000 EUR
180 ㎡,"1,84 ㏊",5.0,4.0,Noreste,Manacor,2.395.000 EUR
97 ㎡,,3.0,2.0,Norte,Puerto Alcudia,980.000 EUR
642 ㎡,"1,85 ㏊",10.0,10.0,Sur,Llucmajor,2.900.000 EUR
310 ㎡,,3.0,2.0,Palma,Palma Catedral - Casco Antiguo,2.995.000 EUR
66 ㎡,,2.0,1.0,Palma,Palma Catedral - Casco Antiguo,495.000 EUR
450 ㎡,12 ㏊,5.0,4.0,Norte,Pollensa,2.995.000 EUR
495 ㎡,"8,08 ㏊",7.0,6.0,Central,Alaró,A Consultar
195 ㎡,170 ㎡,8.0,3.0,Palma,Playa de Palma & Arenal,960.000 EUR
222 ㎡,478 ㎡,4.0,4.0,Central,Llubí,1.575.000 EUR
575 ㎡,"4,72 ㏊",4.0,5.0,Central,Binissalem,7.995.000 EUR
143 ㎡,,3.0,2.0,Suroeste,Bendinat,1.250.000 EUR
112 ㎡,,2.0,2.0,Suroeste,Santa Ponsa,775.000 EUR
,"4,72 ㏊",,,Central,Binissalem,2.500.000 EUR
127 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,895.000 EUR
210 ㎡,"1,41 ㏊",4.0,4.0,Noreste,San Lorenzo,2.490.000 EUR
438 ㎡,226 ㎡,4.0,4.0,Central,Caimari,995.000 EUR
321 ㎡,478 ㎡,4.0,3.0,Central,Mancor del Valle,1.970.000 EUR
215 ㎡,1.184 ㎡,3.0,3.0,Norte,Campanet,1.795.000 EUR
,"1,88 ㏊",,,Sur,Llucmajor,465.000 EUR
214 ㎡,"2,12 ㏊",4.0,2.0,Norte,Muro,1.485.000 EUR
315 ㎡,,1.0,3.0,Suroeste,Port Andratx,3.150.000 EUR
62 ㎡,,2.0,2.0,Palma,Playa de Palma & Arenal,429.000 EUR
190 ㎡,366 ㎡,4.0,3.0,Sur,Puig de Ros,1.500.000 EUR
93 ㎡,,4.0,3.0,Norte,Pollensa,495.000 EUR
168 ㎡,,4.0,2.0,Suroeste,Cas Catalá,1.450.000 EUR
640 ㎡,1.310 ㎡,4.0,5.0,Suroeste,Santa Ponsa,7.950.000 EUR
358 ㎡,"1,78 ㏊",4.0,4.0,Sureste,Sa Rapita,2.900.000 EUR
230 ㎡,"1,64 ㏊",3.0,2.0,Sureste,Sa Rapita,2.700.000 EUR
87 ㎡,,2.0,2.0,Suroeste,Cala Fornells,649.000 EUR
223 ㎡,127 ㎡,4.0,4.0,Norte,Pollensa,1.280.000 EUR
478 ㎡,1.070 ㎡,4.0,5.0,Suroeste,Costa d'en Blanes,7.500.000 EUR
130 ㎡,,3.0,3.0,Suroeste,Santa Ponsa,1.625.000 EUR
100 ㎡,,3.0,1.0,Palma,Portixol & Molinar,645.000 EUR
407 ㎡,1.952 ㎡,4.0,3.0,Noreste,Costa de Los Pinos,2.950.000 EUR
455 ㎡,2.635 ㎡,4.0,3.0,Son Vida & Palma Alrededores,Son Vida,6.300.000 EUR
230 ㎡,215 ㎡,5.0,3.0,Norte,Pollensa,1.150.000 EUR
631 ㎡,776 ㎡,7.0,6.0,Son Vida & Palma Alrededores,Palma Golf,3.250.000 EUR
902 ㎡,2.316 ㎡,6.0,6.0,Oeste,Deià,A Consultar
115 ㎡,105 ㎡,2.0,2.0,Norte,Pollensa,895.000 EUR
271 ㎡,2.902 ㎡,4.0,2.0,Norte,Pollensa,750.000 EUR
138 ㎡,"25,02 ㏊",3.0,3.0,Noreste,Colonia de St. Pere,1.000.000 EUR
730 ㎡,"4,41 ㏊",4.0,4.0,Sureste,Campos,4.290.000 EUR
156 ㎡,389 ㎡,3.0,3.0,Norte,Puerto Alcudia - Alcanada,1.900.000 EUR
880 ㎡,"1,47 ㏊",7.0,7.0,Sureste,Portopetro,3.000.000 EUR
,"8,96 ㏊",,,Central,Sencelles,2.100.000 EUR
596 ㎡,"1,81 ㏊",6.0,10.0,Sureste,Santanyí,A Consultar
183 ㎡,"20,31 ㏊",4.0,4.0,Noreste,Colonia de St. Pere,1.250.000 EUR
182 ㎡,77 ㎡,4.0,2.0,Norte,Pollensa,735.000 EUR
306 ㎡,536 ㎡,4.0,3.0,Central,Algaida,2.100.000 EUR
176 ㎡,,4.0,3.0,Noreste,Son Carrio,698.250 EUR
211 ㎡,207 ㎡,3.0,2.0,Central,Binissalem,1.390.000 EUR
90 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,695.000 EUR
257 ㎡,990 ㎡,4.0,4.0,Noreste,Font de Sa Cala,4.150.000 EUR
373 ㎡,312 ㎡,5.0,6.0,Norte,Campanet,1.850.000 EUR
294 ㎡,"1,56 ㏊",4.0,3.0,Central,Sineu,1.700.000 EUR
360 ㎡,"1,6 ㏊",3.0,3.0,Suroeste,Capdella,6.600.000 EUR
157 ㎡,315 ㎡,3.0,3.0,Sur,Puig de Ros,1.150.000 EUR
363 ㎡,"2,94 ㏊",2.0,2.0,Sureste,Campos,1.150.000 EUR
512 ㎡,"1,57 ㏊",6.0,6.0,Sureste,Santanyí,3.900.000 EUR
107 ㎡,,4.0,3.0,Norte,Puerto Alcudia,675.000 EUR
170 ㎡,"1,84 ㏊",4.0,3.0,Norte,Muro,1.300.000 EUR
708 ㎡,1.366 ㎡,8.0,6.0,Noreste,Cala Ratjada,2.495.000 EUR
500 ㎡,"1,49 ㏊",4.0,6.0,Norte,Alcudia,4.200.000 EUR
254 ㎡,230 ㎡,4.0,3.0,Sureste,Campos,1.490.000 EUR
1.538 ㎡,4.200 ㎡,11.0,10.0,Central,Alaró,A Consultar
272 ㎡,430 ㎡,4.0,3.0,Norte,Puerto Alcudia - Alcanada,1.790.000 EUR
181 ㎡,,2.0,1.0,Norte,Alcudia,695.000 EUR
282 ㎡,1.439 ㎡,4.0,4.0,Suroeste,Bendinat,4.200.000 EUR
398 ㎡,"2,07 ㏊",4.0,5.0,Central,Llubí,2.500.000 EUR
270 ㎡,730 ㎡,4.0,4.0,Noreste,Cala Ratjada,1.600.000 EUR
498 ㎡,"2,6 ㏊",5.0,5.0,Sureste,Felanitx,3.500.000 EUR
589 ㎡,970 ㎡,4.0,4.0,Suroeste,Costa d'en Blanes,8.900.000 EUR
361 ㎡,172 ㎡,4.0,3.0,Sur,Llucmajor,800.000 EUR
590 ㎡,976 ㎡,4.0,4.0,Suroeste,Costa d'en Blanes,9.500.000 EUR
76 ㎡,,2.0,2.0,Suroeste,Portals,1.200.000 EUR
119 ㎡,,2.0,3.0,Palma,Palma Catedral - Casco Antiguo,1.800.000 EUR
245 ㎡,"2,99 ㏊",4.0,3.0,Suroeste,Andratx,4.500.000 EUR
878 ㎡,"1,57 ㏊",6.0,6.0,Sureste,Cala Llombards,6.500.000 EUR
,"2,65 ㏊",,,Norte,Santa Margalida,495.000 EUR
33 ㎡,,1.0,1.0,Palma,Palma Catedral - Casco Antiguo,280.000 EUR
1.065 ㎡,2.500 ㎡,6.0,8.0,Suroeste,Costa d'en Blanes,25.000.000 EUR
423 ㎡,729 ㎡,5.0,7.0,Sureste,Alquería Blanca,A Consultar
245 ㎡,"1,81 ㏊",5.0,3.0,Norte,Alcudia,1.750.000 EUR
131 ㎡,109 ㎡,3.0,2.0,Norte,Pollensa,1.350.000 EUR
120 ㎡,55 ㎡,2.0,2.0,Noreste,Capdepera,780.000 EUR
148 ㎡,,4.0,4.0,Suroeste,Cas Catalá,1.495.000 EUR
260 ㎡,240 ㎡,4.0,3.0,Sureste,Felanitx,1.600.000 EUR
86 ㎡,,3.0,2.0,Palma,Es Forti,595.000 EUR
649 ㎡,1.188 ㎡,11.0,6.0,Oeste,Sóller,2.700.000 EUR
329 ㎡,1.030 ㎡,5.0,4.0,Suroeste,Santa Ponsa,4.200.000 EUR
848 ㎡,"5,03 ㏊",4.0,4.0,Sureste,Son Macia,A Consultar
490 ㎡,3 ㏊,5.0,4.0,Noreste,San Lorenzo,6.900.000 EUR
140 ㎡,146 ㎡,2.0,2.0,Noreste,Capdepera,750.000 EUR
352 ㎡,"4,28 ㏊",5.0,4.0,Norte,Puerto Alcudia,1.600.000 EUR
154 ㎡,1.127 ㎡,3.0,2.0,Noreste,Costa de Los Pinos,1.690.000 EUR
218 ㎡,7.963 ㎡,4.0,3.0,Suroeste,S'Arraco,2.400.000 EUR
595 ㎡,"1,42 ㏊",4.0,2.0,Central,Santa María,5.500.000 EUR
144 ㎡,260 ㎡,3.0,3.0,Norte,Campanet,1.100.000 EUR
107 ㎡,315 ㎡,3.0,2.0,Norte,Puerto Alcudia,790.000 EUR
436 ㎡,"1,42 ㏊",6.0,5.0,Sureste,Campos,3.650.000 EUR
90 ㎡,,2.0,2.0,Palma,San Agustin,1.150.000 EUR
158 ㎡,139 ㎡,3.0,2.0,Central,San Juan,597.500 EUR
58 ㎡,,2.0,1.0,Norte,Puerto Alcudia - Alcanada,460.000 EUR
622 ㎡,7.904 ㎡,6.0,5.0,Central,Puntiró,5.950.000 EUR
622 ㎡,7.904 ㎡,6.0,5.0,Central,Puntiró,5.950.000 EUR
690 ㎡,1.113 ㎡,5.0,6.0,Suroeste,Port Andratx,13.500.000 EUR
251 ㎡,"9,03 ㏊",3.0,2.0,Norte,Pollensa,1.300.000 EUR
118 ㎡,371 ㎡,3.0,2.0,Sureste,Colonia de Sant Jordi,1.350.000 EUR
155 ㎡,300 ㎡,4.0,3.0,Sur,Puig de Ros,899.000 EUR
,"3,5 ㏊",,,Sureste,Alquería Blanca,1.400.000 EUR
143 ㎡,83 ㎡,2.0,2.0,Central,Alaró,619.000 EUR
341 ㎡,"1,68 ㏊",3.0,2.0,Central,Sineu,1.580.000 EUR
75 ㎡,,2.0,2.0,Noreste,Canyamel,500.000 EUR
387 ㎡,5.043 ㎡,5.0,4.0,Central,Bunyola,1.350.000 EUR
368 ㎡,"1,81 ㏊",4.0,4.0,Norte,Pollensa,3.475.000 EUR
75 ㎡,,2.0,2.0,Noreste,Canyamel,585.000 EUR
315 ㎡,1.003 ㎡,4.0,3.0,Son Vida & Palma Alrededores,Palmanyola,3.400.000 EUR
375 ㎡,"3,43 ㏊",6.0,6.0,Central,Caimari,2.250.000 EUR
217 ㎡,705 ㎡,3.0,3.0,Sur,Cala Blava,1.550.000 EUR
68 ㎡,,2.0,1.0,Noreste,Canyamel,436.000 EUR
145 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,2.300.000 EUR
219 ㎡,,3.0,2.0,Palma,Son Armadams,760.000 EUR
85 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,1.690.000 EUR
490 ㎡,525 ㎡,4.0,4.0,Sur,Llucmajor,1.795.000 EUR
190 ㎡,,3.0,2.0,Palma,Palma City Centre,1.790.000 EUR
,2.076 ㎡,,,Son Vida & Palma Alrededores,Son Vida,4.600.000 EUR
711 ㎡,2.185 ㎡,6.0,5.0,Sur,Las Palmeras,2.250.000 EUR
148 ㎡,2.015 ㎡,3.0,3.0,Central,Montuiri,589.000 EUR
85 ㎡,,3.0,2.0,Palma,Portixol & Molinar,495.000 EUR
257 ㎡,1.374 ㎡,3.0,2.0,Sureste,Santanyí,2.900.000 EUR
192 ㎡,,3.0,3.0,Suroeste,Andratx,2.890.000 EUR
478 ㎡,"1,56 ㏊",5.0,5.0,Sureste,Santanyí,4.950.000 EUR
479 ㎡,1.168 ㎡,5.0,5.0,Suroeste,Port Andratx,11.500.000 EUR
120 ㎡,60 ㎡,2.0,2.0,Noreste,Artá,580.000 EUR
1.743 ㎡,"75,91 ㏊",9.0,2.0,Central,Lloret de Vista Alegre,2.710.000 EUR
380 ㎡,992 ㎡,4.0,2.0,Sur,Cala Pi,2.900.000 EUR
230 ㎡,"1,59 ㏊",5.0,3.0,Suroeste,Calvià,2.170.000 EUR
613 ㎡,1.117 ㎡,4.0,4.0,Suroeste,Santa Ponsa,5.500.000 EUR
353 ㎡,"1,47 ㏊",4.0,4.0,Noreste,Manacor,2.975.000 EUR
101 ㎡,,3.0,2.0,Son Vida & Palma Alrededores,Palma Golf,1.075.000 EUR
345 ㎡,1.388 ㎡,3.0,3.0,Noreste,Costa de Los Pinos,2.980.000 EUR
445 ㎡,1.302 ㎡,4.0,5.0,Suroeste,Santa Ponsa,6.900.000 EUR
398 ㎡,1.313 ㎡,5.0,5.0,Suroeste,Santa Ponsa,5.950.000 EUR
266 ㎡,839 ㎡,4.0,5.0,Noreste,Betlem,2.950.000 EUR
550 ㎡,387 ㎡,5.0,2.0,Central,Binissalem,1.980.000 EUR
313 ㎡,"1,62 ㏊",4.0,3.0,Central,Algaida,1.875.000 EUR
430 ㎡,1.361 ㎡,4.0,4.0,Suroeste,Santa Ponsa,6.950.000 EUR
104 ㎡,3.577 ㎡,4.0,3.0,Norte,Campanet,695.000 EUR
305 ㎡,"2,79 ㏊",4.0,4.0,Sureste,Campos,2.600.000 EUR
403 ㎡,1.260 ㎡,5.0,5.0,Suroeste,Bendinat,4.950.000 EUR
,1.032 ㎡,,,Sureste,Cala d'Or,1.800.000 EUR
,1.000 ㎡,,,Sureste,Cala d'Or,1.500.000 EUR
336 ㎡,"1,68 ㏊",4.0,4.0,Noreste,Porto Cristo Novo,A Consultar
63 ㎡,,2.0,1.0,Palma,El Terreno,537.000 EUR
243 ㎡,,4.0,4.0,Palma,Palma Catedral - Casco Antiguo,3.950.000 EUR
210 ㎡,,3.0,3.0,Palma,Palma Catedral - Casco Antiguo,2.100.000 EUR
159 ㎡,,3.0,3.0,Palma,Palma Catedral - Casco Antiguo,1.750.000 EUR
53 ㎡,,1.0,1.0,Palma,Palma Catedral - Casco Antiguo,380.000 EUR
323 ㎡,,4.0,4.0,Palma,Palma Catedral - Casco Antiguo,3.100.000 EUR
500 ㎡,1.100 ㎡,5.0,5.0,Suroeste,Port Andratx,6.100.000 EUR
236 ㎡,532 ㎡,4.0,5.0,Norte,Cala San Vicente,1.350.000 EUR
870 ㎡,2.003 ㎡,5.0,7.0,Son Vida & Palma Alrededores,Son Vida,11.500.000 EUR
677 ㎡,1.000 ㎡,4.0,5.0,Son Vida & Palma Alrededores,Son Vida,5.500.000 EUR
150 ㎡,129 ㎡,3.0,2.0,Son Vida & Palma Alrededores,Esporles,795.000 EUR
,"1,52 ㏊",,,Central,Sencelles,649.000 EUR
222 ㎡,"1,52 ㏊",3.0,1.0,Central,Sencelles,649.000 EUR
,1.523 ㎡,,,Noreste,Canyamel,270.000 EUR
4.599 ㎡,"207,07 ㏊",8.0,10.0,Sureste,Porreres,A Consultar
279 ㎡,1.276 ㎡,4.0,3.0,Central,Sa Cabaneta,1.390.000 EUR
1.760 ㎡,"2,48 ㏊",11.0,8.0,Sureste,Cas Concos,11.950.000 EUR
382 ㎡,"1,51 ㏊",4.0,4.0,Sureste,Portocolom,3.250.000 EUR
95 ㎡,,2.0,2.0,Suroeste,Portals,1.325.000 EUR
400 ㎡,8.261 ㎡,8.0,6.0,Central,Binissalem,3.900.000 EUR
,"1,5 ㏊",,,Noreste,San Lorenzo,350.000 EUR
928 ㎡,"34,3 ㏊",7.0,4.0,Noreste,Capdepera,5.500.000 EUR
176 ㎡,2.075 ㎡,3.0,3.0,Noreste,Manacor,2.200.000 EUR
681 ㎡,"9,17 ㏊",,,Oeste,Deià,3.900.000 EUR
,540 ㎡,,,Sureste,Felanitx,385.000 EUR
,238 ㎡,,,Central,Caimari,360.000 EUR
323 ㎡,175 ㎡,6.0,7.0,Central,Biniamar,1.250.000 EUR
496 ㎡,1.500 ㎡,4.0,3.0,Sureste,Cala d'Or,4.200.000 EUR
237 ㎡,620 ㎡,3.0,3.0,Sur,Bahía Grande / Bahía Azul,1.800.000 EUR
351 ㎡,1.550 ㎡,5.0,3.0,Central,Sa Cabaneta,1.690.000 EUR
714 ㎡,4.545 ㎡,7.0,7.0,Noreste,Canyamel,7.500.000 EUR
490 ㎡,"1,42 ㏊",6.0,5.0,Norte,Pollensa,3.375.000 EUR
240 ㎡,1.500 ㎡,4.0,3.0,Sur,Cala Pi,1.450.000 EUR
180 ㎡,"1,47 ㏊",4.0,2.0,Sureste,Ses Covetes,1.950.000 EUR
173 ㎡,383 ㎡,3.0,3.0,Sureste,Santanyí,1.490.000 EUR
110 ㎡,84 ㎡,2.0,2.0,Norte,Pollensa,795.000 EUR
1.017 ㎡,2.226 ㎡,6.0,6.0,Suroeste,Port Andratx,33.000.000 EUR
57 ㎡,,2.0,1.0,Norte,Puerto Alcudia,465.000 EUR
191 ㎡,7.684 ㎡,3.0,3.0,Sur,Llucmajor,1.300.000 EUR
200 ㎡,,3.0,2.0,Sureste,Colonia de Sant Jordi,1.450.000 EUR
428 ㎡,1.100 ㎡,4.0,3.0,Sur,Sa Torre,2.350.000 EUR
300 ㎡,1.464 ㎡,4.0,2.0,Noreste,Canyamel,6.000.000 EUR
100 ㎡,7.291 ㎡,3.0,2.0,Norte,Santa Margalida,685.000 EUR
,"1,45 ㏊",,,Norte,Can Picafort,255.000 EUR
,"1,45 ㏊",,,Norte,Santa Margalida,275.000 EUR
106 ㎡,,3.0,1.0,Norte,Puerto Alcudia,795.000 EUR
181 ㎡,,3.0,1.0,Norte,Alcudia,695.000 EUR
235 ㎡,378 ㎡,3.0,3.0,Palma,Sa Teulera,1.550.000 EUR
200 ㎡,70 ㎡,4.0,3.0,Noreste,Artá,550.000 EUR
232 ㎡,235 ㎡,3.0,3.0,Sureste,Santanyí,2.500.000 EUR
204 ㎡,"1,5 ㏊",3.0,2.0,Central,Alaró,1.950.000 EUR
135 ㎡,210 ㎡,,,Sureste,Colonia de Sant Jordi,1.600.000 EUR
284 ㎡,551 ㎡,6.0,2.0,Norte,Cala San Vicente,745.000 EUR
146 ㎡,81 ㎡,3.0,2.0,Norte,Campanet,560.000 EUR
136 ㎡,,3.0,2.0,Noreste,Son Servera,795.000 EUR
