superficie_construida,superficie_parcela,habitaciones,banos,zona,localizacion,precio
501 ㎡,1.612 ㎡,5.0,5.0,Suroeste,Santa Ponsa,3.900.000 EUR
135 ㎡,,3.0,2.0,Suroeste,Capdella,1.200.000 EUR
113 ㎡,49 ㎡,2.0,2.0,Oeste,Deià,900.000 EUR
275 ㎡,,3.0,3.0,Palma,Palma Catedral - Casco Antiguo,5.895.000 EUR
170 ㎡,,4.0,3.0,Suroeste,Cas Catalá,1.675.000 EUR
,2.070 ㎡,,,Son Vida & Palma Alrededores,Son Vida,5.800.000 EUR
420 ㎡,"1,69 ㏊",6.0,6.0,Sureste,Calonge,4.600.000 EUR
202 ㎡,400 ㎡,4.0,3.0,Norte,Alcudia - Bonaire,1.795.000 EUR
508 ㎡,4.575 ㎡,4.0,4.0,Central,Alaró,2.495.000 EUR
225 ㎡,"1,42 ㏊",3.0,2.0,Central,Sineu,1.450.000 EUR
387 ㎡,569 ㎡,4.0,5.0,Central,Lloseta,3.700.000 EUR
206 ㎡,,4.0,4.0,Palma,San Agustin,3.200.000 EUR
180 ㎡,,4.0,4.0,Norte,Puerto Pollensa,2.900.000 EUR
223 ㎡,764 ㎡,4.0,3.0,Noreste,Canyamel,1.249.000 EUR
136 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,875.000 EUR
160 ㎡,,4.0,4.0,Suroeste,Cala Major,2.950.000 EUR
138 ㎡,"1,43 ㏊",2.0,2.0,Sur,Llucmajor,850.000 EUR
571 ㎡,1.280 ㎡,6.0,6.0,Sur,Son Veri,14.500.000 EUR
350 ㎡,6.260 ㎡,5.0,5.0,Noreste,Capdepera,1.780.000 EUR
520 ㎡,5.754 ㎡,5.0,7.0,Suroeste,Port Andratx,35.000.000 EUR
323 ㎡,266 ㎡,4.0,4.0,Central,Llubí,1.720.000 EUR
315 ㎡,752 ㎡,3.0,2.0,Central,Sineu,1.590.000 EUR
247 ㎡,825 ㎡,4.0,2.0,Suroeste,Costa d'en Blanes,3.450.000 EUR
389 ㎡,"1,31 ㏊",5.0,6.0,Central,S'Aranjassa,2.950.000 EUR
100 ㎡,,3.0,2.0,Palma,Palma City Centre,650.000 EUR
386 ㎡,7.115 ㎡,4.0,4.0,Sur,Llucmajor,1.650.000 EUR
600 ㎡,1.129 ㎡,5.0,5.0,Suroeste,Cala Vinyes,5.950.000 EUR
326 ㎡,200 ㎡,5.0,3.0,Central,Petra,750.000 EUR
423 ㎡,7.103 ㎡,4.0,4.0,Central,Sencelles,1.750.000 EUR
456 ㎡,"2,52 ㏊",4.0,4.0,Central,Selva,4.600.000 EUR
239 ㎡,205 ㎡,5.0,4.0,Central,Alaró,1.425.000 EUR
,1.300 ㎡,,,Oeste,Valldemossa,590.000 EUR
73 ㎡,,2.0,2.0,Palma,Camp d'en Serralta,580.000 EUR
216 ㎡,176 ㎡,3.0,2.0,Norte,Muro,995.000 EUR
88 ㎡,,2.0,2.0,Palma,Portixol & Molinar,860.000 EUR
181 ㎡,,3.0,4.0,Suroeste,Port Andratx,2.675.000 EUR
,2.185 ㎡,,,Son Vida & Palma Alrededores,Son Vida,3.000.000 EUR
884 ㎡,2.015 ㎡,8.0,8.0,Son Vida & Palma Alrededores,Son Vida,5.950.000 EUR
227 ㎡,,3.0,3.0,Oeste,Sóller,2.655.000 EUR
,966 ㎡,,,Son Vida & Palma Alrededores,Palma Golf,950.000 EUR
390 ㎡,683 ㎡,5.0,5.0,Suroeste,Calvià,2.950.000 EUR
215 ㎡,1.000 ㎡,4.0,4.0,Norte,Alcudia - Bonaire,3.300.000 EUR
383 ㎡,1.360 ㎡,7.0,4.0,Sureste,Portocolom,3.600.000 EUR
190 ㎡,,3.0,3.0,Suroeste,Bendinat,2.950.000 EUR
75 ㎡,,2.0,2.0,Sureste,Sa Rapita,590.000 EUR
480 ㎡,1.200 ㎡,4.0,4.0,Son Vida & Palma Alrededores,Establiments,3.500.000 EUR
137 ㎡,,3.0,3.0,Noreste,Port Verd,950.000 EUR
145 ㎡,420 ㎡,3.0,2.0,Sureste,Cala Llombards,1.290.000 EUR
97 ㎡,,3.0,2.0,Palma,Playa de Palma & Arenal,475.000 EUR
224 ㎡,183 ㎡,4.0,3.0,Noreste,Son Servera,780.000 EUR
375 ㎡,"1,52 ㏊",5.0,5.0,Central,Inca,5.100.000 EUR
376 ㎡,1.166 ㎡,4.0,6.0,Norte,Puerto Alcudia - Alcanada,2.275.000 EUR
181 ㎡,356 ㎡,3.0,3.0,Palma,Portixol & Molinar,2.500.000 EUR
,"2,23 ㏊",,,Central,Sencelles,750.000 EUR
379 ㎡,"2,34 ㏊",5.0,3.0,Central,Binissalem,3.500.000 EUR
376 ㎡,,4.0,4.0,Palma,Playa de Palma & Arenal,2.500.000 EUR
154 ㎡,176 ㎡,2.0,2.0,Noreste,San Lorenzo,450.000 EUR
160 ㎡,6.094 ㎡,3.0,2.0,Norte,Pollensa,1.600.000 EUR
235 ㎡,"1,72 ㏊",4.0,4.0,Sureste,Felanitx,1.500.000 EUR
235 ㎡,"1,68 ㏊",4.0,4.0,Sureste,Felanitx,1.500.000 EUR
106 ㎡,,3.0,2.0,Son Vida & Palma Alrededores,Palma Golf,970.000 EUR
176 ㎡,119 ㎡,3.0,3.0,Sureste,Ses Salines,1.790.000 EUR
163 ㎡,223 ㎡,5.0,3.0,Son Vida & Palma Alrededores,Puigpunyent & Galilea,895.000 EUR
152 ㎡,,3.0,1.0,Oeste,Deià,1.300.000 EUR
173 ㎡,161 ㎡,3.0,3.0,Central,Maria de la Salut,845.000 EUR
205 ㎡,509 ㎡,3.0,3.0,Suroeste,Palmanova,2.300.000 EUR
937 ㎡,"11,38 ㏊",12.0,14.0,Central,Sencelles,A Consultar
275 ㎡,598 ㎡,3.0,3.0,Son Vida & Palma Alrededores,Son Vida,3.300.000 EUR
97 ㎡,,3.0,1.0,Palma,Portixol & Molinar,680.000 EUR
212 ㎡,"1,69 ㏊",3.0,3.0,Sureste,Es Llombards,1.950.000 EUR
266 ㎡,,4.0,4.0,Oeste,Sóller,1.825.000 EUR
110 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,1.200.000 EUR
355 ㎡,872 ㎡,5.0,4.0,Sur,Cala Pi,2.460.000 EUR
302 ㎡,1.276 ㎡,3.0,3.0,Sur,Llucmajor,1.995.000 EUR
77 ㎡,,2.0,1.0,Suroeste,Portals,749.000 EUR
139 ㎡,,3.0,3.0,Palma,Es Forti,860.000 EUR
360 ㎡,485 ㎡,3.0,3.0,Sureste,Santanyí,3.480.000 EUR
333 ㎡,1.936 ㎡,4.0,3.0,Suroeste,Port Andratx,6.500.000 EUR
,"2,13 ㏊",,,Central,Algaida,248.000 EUR
,"2,15 ㏊",,,Central,Algaida,248.000 EUR
250 ㎡,1.049 ㎡,3.0,4.0,Sureste,Cala d'Or,1.739.000 EUR
,"4,81 ㏊",,,Sureste,Cala Santanyi,850.000 EUR
120 ㎡,,3.0,1.0,Oeste,Estellencs,350.000 EUR
548 ㎡,3.445 ㎡,6.0,6.0,Central,Santa María,4.950.000 EUR
137 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,1.175.000 EUR
257 ㎡,,3.0,2.0,Suroeste,Portals,1.525.000 EUR
240 ㎡,706 ㎡,5.0,5.0,Norte,Cala San Vicente,850.000 EUR
148 ㎡,750 ㎡,4.0,5.0,Suroeste,Port Adriano,3.490.000 EUR
,1.006 ㎡,,,Suroeste,Camp de Mar,2.450.000 EUR
203 ㎡,,4.0,4.0,Suroeste,Cas Catalá,2.500.000 EUR
118 ㎡,378 ㎡,4.0,3.0,Norte,Can Picafort,785.000 EUR
,207 ㎡,,,Norte,Muro,192.000 EUR
900 ㎡,2.137 ㎡,6.0,6.0,Son Vida & Palma Alrededores,Son Vida,8.350.000 EUR
191 ㎡,,3.0,4.0,Norte,Puerto Alcudia,965.000 EUR
158 ㎡,1.200 ㎡,6.0,3.0,Norte,Puerto Alcudia - Alcanada,4.300.000 EUR
147 ㎡,,2.0,1.0,Oeste,Deià,780.000 EUR
272 ㎡,991 ㎡,5.0,5.0,Suroeste,Santa Ponsa,3.450.000 EUR
245 ㎡,900 ㎡,4.0,4.0,Suroeste,Santa Ponsa,3.450.000 EUR
224 ㎡,,2.0,2.0,Central,San Juan,449.000 EUR
,7.336 ㎡,,,Central,S'Aranjassa,495.000 EUR
123 ㎡,,2.0,3.0,Suroeste,Santa Ponsa,870.000 EUR
591 ㎡,"1,43 ㏊",4.0,6.0,Central,Selva,4.950.000 EUR
284 ㎡,1.047 ㎡,4.0,4.0,Norte,Sa Pobla,1.650.000 EUR
127 ㎡,,3.0,2.0,Suroeste,Port Andratx,2.980.000 EUR
90 ㎡,,2.0,2.0,Palma,La Bonanova,749.000 EUR
161 ㎡,2.940 ㎡,4.0,3.0,Suroeste,Andratx,1.140.000 EUR
385 ㎡,9.300 ㎡,6.0,3.0,Central,Puntiró,2.250.000 EUR
730 ㎡,1.470 ㎡,4.0,5.0,Suroeste,Santa Ponsa,8.800.000 EUR
336 ㎡,"1,78 ㏊",5.0,5.0,Sureste,Santanyí,2.950.000 EUR
430 ㎡,"1,84 ㏊",9.0,7.0,Sur,Llucmajor,3.900.000 EUR
375 ㎡,251 ㎡,3.0,4.0,Noreste,Artá,1.920.000 EUR
109 ㎡,,2.0,2.0,Palma,Son Armadams,850.000 EUR
,"1,66 ㏊",,,Noreste,Son Carrio,385.000 EUR
34 ㎡,,,1.0,Norte,Puerto Alcudia,210.000 EUR
350 ㎡,226 ㎡,5.0,3.0,Sur,Llucmajor,A Consultar
358 ㎡,"1,43 ㏊",4.0,4.0,Norte,Santa Margalida,3.200.000 EUR
94 ㎡,,3.0,2.0,Oeste,Puerto de Sóller,650.000 EUR
312 ㎡,1.150 ㎡,4.0,4.0,Norte,Alcudia - Bonaire,3.950.000 EUR
110 ㎡,,3.0,2.0,Suroeste,Palmanova,755.000 EUR
93 ㎡,,3.0,2.0,Suroeste,Palmanova,775.000 EUR
98 ㎡,,2.0,2.0,Suroeste,Palmanova,606.000 EUR
98 ㎡,,2.0,2.0,Suroeste,Palmanova,686.000 EUR
115 ㎡,,3.0,2.0,Suroeste,Palmanova,836.000 EUR
289 ㎡,7.000 ㎡,4.0,3.0,Noreste,Canyamel,1.790.000 EUR
,"4,24 ㏊",,,Central,Maria de la Salut,320.000 EUR
95 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,695.000 EUR
,"1,43 ㏊",,,Central,Llubí,320.000 EUR
850 ㎡,2.137 ㎡,5.0,5.0,Son Vida & Palma Alrededores,Son Vida,8.500.000 EUR
350 ㎡,"3,5 ㏊",6.0,5.0,Oeste,Port des Canonge,1.600.000 EUR
373 ㎡,1.586 ㎡,5.0,3.0,Noreste,Costa de Los Pinos,1.950.000 EUR
523 ㎡,"70,98 ㏊",9.0,6.0,Noreste,Artá,A Consultar
387 ㎡,1.308 ㎡,4.0,3.0,Suroeste,Port Andratx,4.950.000 EUR
110 ㎡,,2.0,2.0,Palma,Santa Catalina,1.290.000 EUR
,"9,03 ㏊",,,Norte,Pollensa,1.300.000 EUR
240 ㎡,412 ㎡,4.0,3.0,Norte,Puerto Alcudia - Alcanada,1.650.000 EUR
861 ㎡,6.017 ㎡,6.0,5.0,Central,Lloret de Vista Alegre,2.650.000 EUR
,3.000 ㎡,,,Sureste,Cala Murada,440.000 EUR
101 ㎡,416 ㎡,3.0,3.0,Norte,Alcudia,620.000 EUR
71 ㎡,,2.0,2.0,Palma,Son Espanyolet,465.000 EUR
270 ㎡,200 ㎡,3.0,3.0,Norte,Alcudia,398.000 EUR
1.153 ㎡,2.744 ㎡,7.0,8.0,Son Vida & Palma Alrededores,Son Vida,19.995.000 EUR
,"3,01 ㏊",,,Sureste,Cas Concos,1.250.000 EUR
664 ㎡,1.230 ㎡,5.0,6.0,Suroeste,Santa Ponsa,13.800.000 EUR
123 ㎡,,2.0,2.0,Palma,El Terreno,895.000 EUR
808 ㎡,"2,04 ㏊",7.0,8.0,Sureste,Santanyí,7.500.000 EUR
,2.050 ㎡,,,Suroeste,Port Andratx,9.800.000 EUR
650 ㎡,1.089 ㎡,5.0,5.0,Suroeste,Port Andratx,6.950.000 EUR
374 ㎡,1.253 ㎡,5.0,5.0,Sur,Sa Torre,6.900.000 EUR
537 ㎡,3.800 ㎡,4.0,3.0,Sureste,Alquería Blanca,2.800.000 EUR
200 ㎡,1.035 ㎡,4.0,2.0,Suroeste,Costa de la Calma,2.290.000 EUR
4.000 ㎡,63 ㏊,10.0,16.0,Son Vida & Palma Alrededores,Puigpunyent & Galilea,24.000.000 EUR
90 ㎡,,2.0,2.0,Palma,Paseo Marítimo,1.090.000 EUR
192 ㎡,635 ㎡,4.0,2.0,Norte,Campanet,1.090.000 EUR
354 ㎡,2.050 ㎡,5.0,5.0,Suroeste,Port Andratx,9.800.000 EUR
370 ㎡,,4.0,4.0,Suroeste,Calvià,1.795.000 EUR
157 ㎡,,2.0,2.0,Noreste,Cala Ratjada,950.000 EUR
90 ㎡,,2.0,2.0,Suroeste,Cala Major,695.000 EUR
292 ㎡,,4.0,3.0,Palma,Portixol & Molinar,A Consultar
258 ㎡,350 ㎡,3.0,2.0,Sur,Puig de Ros,890.000 EUR
134 ㎡,111 ㎡,3.0,2.0,Norte,Muro,410.000 EUR
86 ㎡,7.718 ㎡,4.0,1.0,Norte,Pollensa,890.000 EUR
190 ㎡,470 ㎡,3.0,3.0,Noreste,Son Servera,1.900.000 EUR
501 ㎡,2.600 ㎡,5.0,4.0,Son Vida & Palma Alrededores,Son Vida,4.690.000 EUR
667 ㎡,1.426 ㎡,4.0,5.0,Suroeste,Camp de Mar,11.500.000 EUR
,"2,83 ㏊",,,Central,Maria de la Salut,270.000 EUR
102 ㎡,,2.0,2.0,Palma,La Bonanova,849.000 EUR
,"2,14 ㏊",,,Central,Selva,895.000 EUR
730 ㎡,402 ㎡,5.0,7.0,Oeste,Sóller,5.950.000 EUR
,405 ㎡,,,Noreste,Colonia de St. Pere,580.000 EUR
55 ㎡,,1.0,1.0,Sur,Maioris Décima,270.000 EUR
,756 ㎡,,,Sureste,Sa Rapita,305.000 EUR
1.092 ㎡,"2,36 ㏊",8.0,10.0,Oeste,Valldemossa,12.950.000 EUR
287 ㎡,"1,41 ㏊",4.0,3.0,Central,Portol,3.300.000 EUR
,"3,48 ㏊",,,Central,Montuiri,850.000 EUR
141 ㎡,,3.0,3.0,Suroeste,Santa Ponsa,3.650.000 EUR
170 ㎡,355 ㎡,4.0,3.0,Sur,Puig de Ros,1.290.000 EUR
,810 ㎡,,,Sur,Bahía Grande / Bahía Azul,450.000 EUR
,1.750 ㎡,,,Suroeste,Port Andratx,8.500.000 EUR
221 ㎡,1.440 ㎡,4.0,3.0,Suroeste,Costa d'en Blanes,1.850.000 EUR
1.045 ㎡,2.104 ㎡,5.0,,Son Vida & Palma Alrededores,Son Vida,11.400.000 EUR
232 ㎡,,3.0,3.0,Palma,Palma Catedral - Casco Antiguo,2.550.000 EUR
153 ㎡,,2.0,2.0,Noreste,Cala Ratjada,950.000 EUR
38 ㎡,,1.0,1.0,Palma,El Terreno,420.000 EUR
140 ㎡,540 ㎡,4.0,2.0,Sureste,Portopetro,1.900.000 EUR
280 ㎡,,3.0,4.0,Oeste,Deià,1.000.000 EUR
299 ㎡,1.053 ㎡,4.0,5.0,Norte,Sa Pobla,2.400.000 EUR
743 ㎡,5.325 ㎡,9.0,9.0,Suroeste,Santa Ponsa,34.450.000 EUR
,2.081 ㎡,,,Son Vida & Palma Alrededores,Son Vida,4.600.000 EUR
279 ㎡,"2,5 ㏊",4.0,3.0,Oeste,Deià,5.950.000 EUR
208 ㎡,,3.0,3.0,Suroeste,Santa Ponsa,1.390.000 EUR
186 ㎡,131 ㎡,3.0,3.0,Oeste,Sóller,1.350.000 EUR
114 ㎡,,2.0,2.0,Suroeste,Santa Ponsa,670.000 EUR
270 ㎡,488 ㎡,5.0,5.0,Palma,Genova,2.750.000 EUR
146 ㎡,,4.0,2.0,Suroeste,Santa Ponsa,2.150.000 EUR
107 ㎡,,3.0,2.0,Suroeste,Bendinat,1.495.000 EUR
103 ㎡,,2.0,2.0,Suroeste,Bendinat,1.450.000 EUR
827 ㎡,2.806 ㎡,5.0,6.0,Son Vida & Palma Alrededores,Son Vida,5.950.000 EUR
103 ㎡,,2.0,2.0,Suroeste,Port Andratx,890.000 EUR
155 ㎡,,4.0,3.0,Suroeste,Santa Ponsa,1.970.000 EUR
280 ㎡,150 ㎡,4.0,4.0,Central,Alaró,1.850.000 EUR
508 ㎡,1.828 ㎡,4.0,4.0,Suroeste,Camp de Mar,5.500.000 EUR
,"3,2 ㏊",,,Noreste,Manacor,450.000 EUR
388 ㎡,1.570 ㎡,5.0,5.0,Sur,Bahía Grande / Bahía Azul,2.980.000 EUR
217 ㎡,1.182 ㎡,3.0,2.0,Sureste,Cala Llombards,2.995.000 EUR
77 ㎡,,2.0,1.0,Palma,Portixol & Molinar,585.000 EUR
83 ㎡,,2.0,2.0,Palma,Portixol & Molinar,1.100.000 EUR
205 ㎡,,3.0,2.0,Central,Santa María,1.250.000 EUR
410 ㎡,"1,56 ㏊",3.0,2.0,Noreste,Manacor,2.100.000 EUR
144 ㎡,127 ㎡,3.0,3.0,Sureste,Campos,685.000 EUR
144 ㎡,127 ㎡,3.0,3.0,Sureste,Campos,685.000 EUR
271 ㎡,419 ㎡,3.0,3.0,Central,Lloseta,1.200.000 EUR
190 ㎡,7.535 ㎡,3.0,3.0,Noreste,Son Carrio,1.850.000 EUR
146 ㎡,688 ㎡,3.0,3.0,Central,Maria de la Salut,1.200.000 EUR
466 ㎡,"1,7 ㏊",4.0,6.0,Central,Sineu,3.450.000 EUR
86 ㎡,,2.0,2.0,Palma,Palma City Centre,1.095.000 EUR
,"1,6 ㏊",,,Central,Lloret de Vista Alegre,850.000 EUR
378 ㎡,"1,7 ㏊",4.0,4.0,Central,San Juan,1.850.000 EUR
84 ㎡,,2.0,1.0,Suroeste,Palmanova,650.000 EUR
144 ㎡,,3.0,3.0,Palma,San Agustin,2.225.000 EUR
191 ㎡,,3.0,3.0,Palma,San Agustin,3.485.000 EUR
212 ㎡,,3.0,3.0,Palma,San Agustin,4.250.000 EUR
,900 ㎡,,,Noreste,Porto Cristo,2.160.000 EUR
183 ㎡,,2.0,3.0,Palma,Palma Catedral - Casco Antiguo,995.000 EUR
574 ㎡,1.251 ㎡,6.0,5.0,Suroeste,Bendinat,9.000.000 EUR
165 ㎡,111 ㎡,3.0,2.0,Norte,Pollensa,670.000 EUR
134 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,1.250.000 EUR
110 ㎡,"2,5 ㏊",2.0,2.0,Noreste,Manacor,1.500.000 EUR
241 ㎡,455 ㎡,3.0,3.0,Norte,Puerto Alcudia - Alcanada,1.250.000 EUR
300 ㎡,1.255 ㎡,4.0,4.0,Suroeste,Cala Vinyes,2.495.000 EUR
,"1,47 ㏊",,,Central,Montuiri,479.000 EUR
407 ㎡,7.000 ㎡,5.0,3.0,Central,Santa María,1.900.000 EUR
339 ㎡,7.867 ㎡,7.0,7.0,Sur,Llucmajor,1.900.000 EUR
95 ㎡,,3.0,2.0,Suroeste,Cas Catalá,1.500.000 EUR
71 ㎡,,3.0,2.0,Suroeste,Illetas,1.600.000 EUR
370 ㎡,"2,8 ㏊",5.0,4.0,Sureste,Portocolom,3.950.000 EUR
114 ㎡,,3.0,2.0,Suroeste,Paguera,1.590.000 EUR
106 ㎡,,3.0,2.0,Palma,Playa de Palma & Arenal,490.000 EUR
214 ㎡,628 ㎡,3.0,5.0,Sureste,Portocolom,2.290.000 EUR
227 ㎡,6.041 ㎡,4.0,3.0,Suroeste,S'Arraco,4.300.000 EUR
407 ㎡,466 ㎡,3.0,2.0,Central,Ariany,950.000 EUR
221 ㎡,"1,47 ㏊",3.0,3.0,Central,Montuiri,1.895.000 EUR
387 ㎡,874 ㎡,4.0,4.0,Suroeste,Portals,8.950.000 EUR
168 ㎡,,3.0,3.0,Noreste,Cala Ratjada,875.000 EUR
345 ㎡,812 ㎡,3.0,3.0,Sureste,Sa Rapita,1.730.000 EUR
443 ㎡,"1,28 ㏊",3.0,2.0,Sur,Llucmajor,875.000 EUR
318 ㎡,300 ㎡,4.0,4.0,Sureste,Santanyí,4.200.000 EUR
986 ㎡,2.692 ㎡,5.0,4.0,Oeste,Valldemossa,13.000.000 EUR
250 ㎡,7.100 ㎡,4.0,4.0,Noreste,Son Servera,2.250.000 EUR
590 ㎡,2.429 ㎡,5.0,6.0,Suroeste,Costa de la Calma,7.500.000 EUR
95 ㎡,,3.0,2.0,Oeste,Puerto de Sóller,890.000 EUR
95 ㎡,,3.0,2.0,Oeste,Puerto de Sóller,875.000 EUR
117 ㎡,,3.0,2.0,Oeste,Puerto de Sóller,990.000 EUR
993 ㎡,6.012 ㎡,9.0,10.0,Noreste,Costa de Los Pinos,A Consultar
,"1,75 ㏊",,,Noreste,Son Carrio,393.750 EUR
138 ㎡,3.525 ㎡,2.0,2.0,Central,Inca,1.750.000 EUR
110 ㎡,,3.0,2.0,Palma,Santa Catalina,1.650.000 EUR
161 ㎡,,4.0,3.0,Palma,Paseo Marítimo,2.250.000 EUR
251 ㎡,2.300 ㎡,3.0,3.0,Sur,Llucmajor,740.000 EUR
400 ㎡,840 ㎡,4.0,3.0,Oeste,Valldemossa,2.175.000 EUR
83 ㎡,,2.0,2.0,Suroeste,Port Andratx,1.690.000 EUR
369 ㎡,434 ㎡,3.0,3.0,Noreste,Colonia de St. Pere,1.270.000 EUR
730 ㎡,"6,15 ㏊",12.0,11.0,Central,Llubí,5.500.000 EUR
423 ㎡,810 ㎡,4.0,4.0,Suroeste,Bendinat,7.475.000 EUR
468 ㎡,1.374 ㎡,5.0,6.0,Suroeste,Costa d'en Blanes,7.495.000 EUR
,"23,33 ㏊",,,Sureste,Campos,1.500.000 EUR
600 ㎡,2.000 ㎡,5.0,5.0,Son Vida & Palma Alrededores,Son Vida,5.490.000 EUR
90 ㎡,,2.0,2.0,Suroeste,Santa Ponsa,1.085.000 EUR
300 ㎡,1.099 ㎡,4.0,3.0,Suroeste,Santa Ponsa,1.750.000 EUR
270 ㎡,705 ㎡,6.0,6.0,Noreste,Artá,2.880.000 EUR
700 ㎡,"1,42 ㏊",5.0,7.0,Central,Santa María,16.200.000 EUR
407 ㎡,1.000 ㎡,4.0,3.0,Sur,Sa Torre,2.995.000 EUR
96 ㎡,,2.0,2.0,Suroeste,Port Andratx,1.290.000 EUR
120 ㎡,,3.0,2.0,Palma,Son Armadams,1.040.000 EUR
144 ㎡,,3.0,2.0,Suroeste,Port Andratx,1.295.000 EUR
,4.558 ㎡,,,Son Vida & Palma Alrededores,Son Vida,3.000.000 EUR
85 ㎡,,2.0,2.0,Noreste,Cala Ratjada,569.000 EUR
136 ㎡,,3.0,4.0,Suroeste,Bendinat,1.995.000 EUR
313 ㎡,1.736 ㎡,4.0,4.0,Suroeste,Port Andratx,6.250.000 EUR
332 ㎡,370 ㎡,3.0,3.0,Sureste,Santanyí,3.495.000 EUR
255 ㎡,1.042 ㎡,4.0,3.0,Sureste,Santanyí,1.490.000 EUR
,1.200 ㎡,,,Noreste,Canyamel,995.000 EUR
323 ㎡,308 ㎡,4.0,3.0,Sureste,Es Llombards,1.350.000 EUR
422 ㎡,1.016 ㎡,5.0,4.0,Oeste,Valldemossa,3.700.000 EUR
129 ㎡,,4.0,2.0,Suroeste,Bendinat,1.650.000 EUR
80 ㎡,,2.0,1.0,Central,Marratxi,499.000 EUR
98 ㎡,,3.0,2.0,Oeste,Puerto de Sóller,1.090.000 EUR
102 ㎡,,3.0,2.0,Oeste,Puerto de Sóller,940.000 EUR
278 ㎡,1.486 ㎡,4.0,2.0,Central,Alaró,980.000 EUR
362 ㎡,"2,3 ㏊",4.0,4.0,Central,Bunyola,5.750.000 EUR
838 ㎡,1.022 ㎡,5.0,5.0,Suroeste,Port Andratx,7.900.000 EUR
105 ㎡,,3.0,3.0,Sureste,Sa Rapita,875.000 EUR
238 ㎡,"1,62 ㏊",3.0,4.0,Noreste,Capdepera,4.000.000 EUR
1.390 ㎡,"184,74 ㏊",6.0,2.0,Sur,Llucmajor,7.000.000 EUR
612 ㎡,1.403 ㎡,8.0,7.0,Noreste,Costa de Los Pinos,4.500.000 EUR
1.500 ㎡,4.250 ㎡,8.0,8.0,Son Vida & Palma Alrededores,Son Vida,21.000.000 EUR
,"1,78 ㏊",,,Central,San Juan,249.000 EUR
134 ㎡,661 ㎡,3.0,2.0,Sur,Cala Pi,2.400.000 EUR
171 ㎡,65 ㎡,3.0,2.0,Oeste,Sóller,780.000 EUR
353 ㎡,7.030 ㎡,4.0,3.0,Central,Inca,1.290.000 EUR
176 ㎡,1.460 ㎡,5.0,5.0,Suroeste,Camp de Mar,2.900.000 EUR
216 ㎡,,3.0,2.0,Palma,Santa Catalina,1.750.000 EUR
295 ㎡,5.197 ㎡,5.0,5.0,Norte,Pollensa,2.500.000 EUR
,"2,32 ㏊",,,Central,Bunyola,2.300.000 EUR
295 ㎡,374 ㎡,3.0,3.0,Suroeste,Cas Catalá,2.550.000 EUR
402 ㎡,1.156 ㎡,4.0,5.0,Suroeste,Santa Ponsa,5.450.000 EUR
686 ㎡,"2,34 ㏊",6.0,6.0,Central,Bunyola,14.500.000 EUR
544 ㎡,887 ㎡,5.0,6.0,Noreste,Canyamel,4.500.000 EUR
146 ㎡,"1,49 ㏊",3.0,2.0,Sur,Llucmajor,795.000 EUR
47 ㎡,,1.0,1.0,Palma,Paseo Marítimo,435.000 EUR
339 ㎡,"1,68 ㏊",5.0,6.0,Sureste,Campos,2.150.000 EUR
84 ㎡,,2.0,2.0,Palma,Es Forti,695.000 EUR
356 ㎡,1.235 ㎡,4.0,4.0,Noreste,Port Verd,6.250.000 EUR
154 ㎡,202 ㎡,3.0,2.0,Suroeste,S'Arraco,945.000 EUR
166 ㎡,162 ㎡,3.0,3.0,Central,Alaró,1.050.000 EUR
151 ㎡,,3.0,2.0,Oeste,Puerto de Sóller,1.590.000 EUR
294 ㎡,410 ㎡,3.0,3.0,Noreste,Porto Cristo,4.300.000 EUR
606 ㎡,"2,33 ㏊",6.0,5.0,Sur,Llucmajor,2.000.000 EUR
